id,shop_title,shop_price,shop_address,shop_factory,shop_store,shop_startingBatch,shop_availableQuantity,shop_ExpressFee,shop_deliveryTime,shop_articleNumber
1,Y91－832创意不锈钢线条打蛋器 手动打蛋器 家用厨房鸡蛋搅拌器,1.46,https://www.yiwugo.com/product/detail/933485929.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市爱尚家居日用品厂,义乌国际商贸城四区81门2楼12街,286,492629,8,72,F25
2,Y91－833厂家批发不锈钢土豆压泥器手动捣碎器家用压薯器厨房工具,1.78,https://www.yiwugo.com/product/detail/933485691.html?q=E5 8F 91 E5 
5,本酷1660-91车线本 作文/森旅/16K/40P 1包*10本,19.50,https://www.yiwugo.com/product/detail/933440930.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市热脉文体用品有限公司,义乌国际商贸城三区64门4楼3街,456,893625,5,72,B19
6,新款创意复古咖啡勺雪糕勺/果酱勺 合金小调更圆星套装甜品勺JY91,6.00,https://www.yiwugo.com/product/detail/931151775.html?q=E5 8F 91 E5 85 89 E7 8E A,广东互发不锈钢制品厂,义乌国际商贸城二区29门4楼,93,481542,10,48,C18
7,新款创意复古咖啡勺 雪糕勺/果酱勺 合金小调更 甜品勺（JY91）,1.80,https://www.yiwugo.com/product/detail/931153032.html?q=E5 8F 91 E5 85 89 E7 8E A,广东互发不锈钢制品厂,义乌国际商贸城二区29门4楼,380,478862,10,72,C24
8,新款创意复古咖啡勺雪糕勺/果酱勺 合金小调更圆星套装甜品勺JY91,6.00,https://www.yiwugo.com/product/detail/931152952.html?q=E5 8F 91 E5 85 89 E7 8E A,广东互发不锈钢制品厂,义乌国际商贸城二区29门4楼,301,730031,5,48,A25
9,池久C-91 儿童牙刷 赛车刷柄折叠版3-12岁使用软毛牙刷,3.20,https://www.yiwugo.com/product/detail/931471063.html?q=E5 8F 91 E5 85 89 E7 8E A,牙刷批发超配中心振山贸易,义乌国际商贸城四区85门2楼7街,268,54340,10,48,P15
10,Y91-813不锈钢手动打蛋器打发器搅拌棒厨房神器手持搅拌器奶油,1.30,https://www.yiwugo.com/product/detail/932387500.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市爱尚家居日用品厂,义乌国际商贸城四区81门2楼12街,447,993695,5,24,F12
11,厂家直销马自达CHAFFARI密封胶硅酮密封胶85发动机引擎变速箱密封,3.00,https://www.yiwugo.com/product/detail/930647288.html?q=E5 8F 91 E5 
13,TESON GASKET MAKER 85g透明密封胶 灰色 汽车缸垫胶,0.01,https://www.yiwugo.com/product/detail/929459975.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市劲功胶粘剂有限公司,义乌国际商贸城二区41门2楼5街,61,360302,5,48,B20
15,【85-160斤】防走光安全裤打底裤高腰收腹女螺纹冰丝三分无痕内裤,2.38,https://www.yiwugo.com/product/detail/933499458.html?q=E5 8F 91 E5 85 89 E7 8E A,爱妃公司,浙江省金华市义乌市义亭镇湖南,404,811670,8,48,F10
16,【85-160斤】防走光安全裤打底裤高腰收腹女螺纹冰丝三分无痕内裤,5.38,https://www.yiwugo.com/product/detail/933499413.html?q=E5 8F 91 E5 85 89 E7 8E A,爱妃公司,浙江省金华市义乌市义亭镇湖南,556,735187,5,24,F18
18,美的节能灯 2E7/5U莲花灯佛手灯 美的85W三基色节能灯,18.00,https://www.yiwugo.com/product/detail/923811655.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌节惠照明有限公司,义乌国际商贸城二区28门2楼9街,383,356668,5,24,F24
22,【85-130斤】内衣性感螺纹冰丝蕾丝抹胸裹胸免穿运动打底文胸,11.24,https://www.yiwugo.com/product/detail/933119541.html?q=E5 8F 91 E5 85 89 
23,【85-140斤】新款无缝中腰女士内裤蕾丝边纯棉裆部提臀女三角裤,4.75,https://www.yiwugo.com/product/detail/933119060.html?q=E5 8F 91 E5 85 89 E7 8E A,丹妮百货有限公司,浙江省金华市义乌市福田街道稠州北路丹妮百货,507,235099,8,24,C11
25,追梦pvc加厚防爆瑜伽球65cm健身球85磨砂充气瑜珈球75cm黑色定制,11.17,https://www.yiwugo.com/product/detail/933422390.html?q=E5 8F 91 E5 85 89 E7 8E A,丹妮百货有限公司,浙江省金华市义乌市福田街道稠州北路丹妮百货,582,200645,8,48,B25
26,C.E HILL TOP SPARKO出口热销密封胶 汽车密封胶 吸卡85g密封胶,0.01,https://www.yiwugo.com/product/detail/929522195.html?q=E5 8F 91 E5 
27,TESON Clear Liquid Auto RTV Silicone Gasket Maker 85g 35g,0.01,https://www.yiwugo.com/product/detail/929458697.html?q=E5 8F 91 E5 85 89 E7 8E A,台州阿凡达胶业源头厂家,义乌国际商贸城二区44门2楼7街,462,215981,5,72,O19
28,ABRO红色密封胶 强力粘接汽车密封胶 汽车耐高温密封胶 85g,0.01,https://www.yiwugo.com/product/detail/929460350.html?q=E5 8F 91 E5 85 89 
29,Lion 免垫片红胶 耐高温密封胶 硅酮胶 85g/支 RTV Silicone,0.01,https://www.yiwugo.com/product/detail/929189826.html?q=E5 8F 91 E5 85 89 E7 8E A,台州阿凡达胶业源头厂家,义乌国际商贸城二区44门2楼7街,24,211303,8,24,B24
30,CASPLAN MAZDA GASKET maker 85g马自达密封胶 灰色银灰色密封胶,0.01,https://www.yiwugo.com/product/detail/930659115.html?q=E5 8F 91 E5 85 89 E7 8E A,台州阿凡达胶业源头厂家,义乌国际商贸城二区44门2楼7街,255,409246,10,24,F24
31,拓欧纺织 纯棉超柔 浮光掠影毛巾34*74cm 85g 爱己爱家亲肤舒适,5.80,https://www.yiwugo.com/product/detail/931393258.html?q=E5 8F 91 E5 85 89 E7 8E A,拓欧纺织有限公司,义乌国际商贸城四区89门3楼3街,319,989632,8,72,A23
32,拓欧纺织 纯棉 拾棉记毛巾34*74cm 85g 爱己爱家全棉吸水柔软毛巾,5.50,https://www.yiwugo.com/product/detail/931391919.html?q=E5 8F 91 E5 85 89 E7 8E A,拓欧纺织有限公司,义乌国际商贸城四区89门3楼3街,275,732346,10,24,A22
35,纯黑色一次性民用口罩32/90+ 85/90+ 都可生产 定制LOGO,0.07,https://www.yiwugo.com/product/detail/932125276.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市华耀防护用品有限公司,义乌国际商贸城二区46门2楼8街,91,313487,5,48,P28
36,EN14683一次性民用口罩85流量90+ 32流量90+日产百万,0.07,https://www.yiwugo.com/product/detail/931606994.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市华耀防护用品有限公司,义乌国际商贸城二区46门2楼8街,512,763694,10,24,E10
37,绑带一次性民用防护口罩32/90+ 85/90+订货 日产300万,0.16,https://www.yiwugo.com/product/detail/932143215.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市华耀防护用品有限公司,义乌国际商贸城二区46门2楼8街,312,694078,8,72,A27
39,磨砂窗帘圈85袋装/50盒装 pp塑料欧式时尚窗帘精美配件,18.20,https://www.yiwugo.com/product/detail/932105108.html?q=E5 8F 91 E5 85 89 E7 
40,热销裂可宁霜防干裂 开皲脱皮 防冻防干燥秋冬必备滋养肌肤85g,7.00,https://www.yiwugo.com/product/detail/931038888.html?q=E5 8F 91 E5 85 89 E7 8E A,浩东(绿巢)日化用品厂,义乌国际商贸城二区39门2楼6街,324,236424,5,24,F19
41,Y85-车载创意不锈钢咖啡杯便携真空汽车杯日式咖啡礼品定制保温杯,11.60,https://www.yiwugo.com/product/detail/932430354.html?q=E5 8F 91 E5 
42,H85-004量勺量杯套装塑料带刻度500ml烘焙工具组合厨房量面粉勺子,3.55,https://www.yiwugo.com/product/detail/932461001.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌瑷尚日用品,义乌国际商贸城四区81门2楼12街,347,495173,10,24,B16
43,卡夫特免垫片银胶K-583发动机密封胶防水耐油耐高温汽车维修胶85g,9.90,https://www.yiwugo.com/product/detail/933245897.html?q=E5 8F 91 E5 85 89 E7 8E A,浩东(绿巢)日化用品厂,义乌国际商贸城二区39门2楼6街,192,677759,5,48,F29
